CODE;X_LONG;Y_LAT
CARZO_611;-70.7382312;-17.58879097
CARZO_612;-70.73894592;-17.58575295
CARZO_613;-70.73894609;-17.58575278
CARZO_614;-70.73932168;-17.58589896
CARZO_615;-70.73949049;-17.58605679
CARZO_616;-70.73821753;-17.58431143
CARZO_617;-70.73812206;-17.58404271
CARZO_618;-70.73808485;-17.58390105
CARZO_619;-70.73804897;-17.58378496
CARZO_620;-70.73802324;-17.58372545
CARZO_621;-70.73789869;-17.5836221
CARZO_622;-70.73789659;-17.58362344
CARZO_623;-70.73782149;-17.58355178
CARZO_624;-70.73787622;-17.5833253
CARZO_625;-70.73782761;-17.5831875
CARZO_626;-70.73778603;-17.58298466
CARZO_627;-70.73774362;-17.58293252
CARZO_628;-70.73774119;-17.58287142
CARZO_629;-70.73773381;-17.58268819
CARZO_630;-70.73768335;-17.58254863
CARZO_631;-70.73728907;-17.58174255
CARZO_632;-70.73731673;-17.58170592
CARZO_633;-70.7372345;-17.58170273
CARZO_634;-70.73722453;-17.58170013
CARZO_635;-70.73703149;-17.58209316
CARZO_636;-70.73701029;-17.58285055
CARZO_637;-70.73681817;-17.58307141
CARZO_638;-70.73667007;-17.58294133
CARZO_639;-70.73648298;-17.5827736
CARZO_640;-70.73620261;-17.58304652
CARZO_641;-70.7361871;-17.58304426
CARZO_642;-70.73654945;-17.58198772
CARZO_643;-70.73658834;-17.58196676
CARZO_644;-70.73651056;-17.58191345
CARZO_645;-70.73657694;-17.58179535
CARZO_646;-70.73669152;-17.5817718
CARZO_647;-70.73665448;-17.58115162
CARZO_648;-70.73656303;-17.58094853
CARZO_649;-70.73633479;-17.58062247
CARZO_650;-70.73578577;-17.58078223
CARZO_651;-70.73519024;-17.58011109
CARZO_652;-70.73515286;-17.57958798
CARZO_653;-70.73550381;-17.57989283
CARZO_654;-70.73592693;-17.57961472
CARZO_655;-70.73503442;-17.57836087
CARZO_656;-70.73453;-17.57685724
CARZO_657;-70.73434811;-17.57656781
CARZO_658;-70.73456713;-17.57594017
CARZO_659;-70.73271909;-17.57566198
CARZO_660;-70.73275538;-17.57551429
CARZO_661;-70.73264365;-17.5752278
CARZO_662;-70.73215817;-17.57454123
