"","ID","wc2.1_30s_bio_1","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","x","y"
"CARZO_80",81,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.6689499,-17.43445817
"CARZO_81",82,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.66900631,-17.43470435
"CARZO_82",83,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.66926942,-17.43481734
"CARZO_83",84,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.66930764,-17.43483368
"CARZO_84",85,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.66977535,-17.43559635
"CARZO_85",86,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.66977669,-17.43563575
"CARZO_86",87,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.66985406,-17.43559987
"CARZO_87",88,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.66995347,-17.43570431
"CARZO_88",89,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.66993729,-17.43568277
"CARZO_89",90,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.6702983,-17.43625567
"CARZO_90",91,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.67029989,-17.43627579
"CARZO_91",92,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.67030786,-17.43628811
"CARZO_92",93,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.67031858,-17.43626866
"CARZO_93",94,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.6706055,-17.43619214
"CARZO_94",95,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.67076827,-17.43623296
"CARZO_95",96,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.67089065,-17.43627059
"CARZO_96",97,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.67087146,-17.43626967
"CARZO_97",98,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.67133531,-17.43664074
"CARZO_98",99,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.67135962,-17.43667225
"CARZO_99",100,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.67137638,-17.43671693
"CARZO_100",101,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.67139197,-17.43673302
"CARZO_101",102,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.67127555,-17.43689287
"CARZO_102",103,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.67103205,-17.43692254
"CARZO_103",104,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.67103054,-17.43691424
"CARZO_104",105,18.3208332061768,11.1750001907349,76.0204010009766,127.126609802246,25.7000007629395,11,14.7000007629395,20,18.7000007629395,20,16.7999992370605,10,6,0,108.676902770996,10,0,10,0,-70.67099475,-17.43691944
